--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
5.5200       243432       YM2151: reg 0x27, val 0xFC
5.5200       243432       YM2151: reg 0x7F, val 0x60
5.5200       243432       YM2151: reg 0x75, val 0x7F
5.5200       243432       YM2151: reg 0x2D, val 0x38
5.5200       243432       YM2151: reg 0x35, val 0xC8
5.5200       243432       YM2151: reg 0x0F, val 0x9F
5.5200       243432       YM2151: reg 0x27, val 0xFC
5.5200       243432       YM2151: reg 0x7F, val 0x69
5.5200       243432       WAIT: 882 samples (1/50s)
5.5400       244314       YM2151: reg 0x74, val 0x18
5.5400       244314       YM2151: reg 0x2C, val 0x48
5.5400       244314       YM2151: reg 0x34, val 0xD0
5.5400       244314       YM2151: reg 0x0F, val 0x9F
5.5400       244314       YM2151: reg 0x27, val 0xFC
5.5400       244314       YM2151: reg 0x7F, val 0x69
5.5400       244314       WAIT: 882 samples (1/50s)
5.5600       245196       YM2151: reg 0x75, val 0x7F
5.5600       245196       YM2151: reg 0x2D, val 0x38
5.5600       245196       YM2151: reg 0x35, val 0xC8
5.5600       245196       YM2151: reg 0x0F, val 0x9F
5.5600       245196       YM2151: reg 0x27, val 0xFC
5.5600       245196       YM2151: reg 0x7F, val 0x70
5.5600       245196       WAIT: 882 samples (1/50s)
5.5800       246078       WAIT: 882 samples (1/50s)
5.6000       246960       YM2151: reg 0x2C, val 0x51
5.6000       246960       YM2151: reg 0x34, val 0xE0
5.6000       246960       YM2151: reg 0x74, val 0x18
5.6000       246960       YM2151: reg 0x2D, val 0x2E
5.6000       246960       YM2151: reg 0x35, val 0x60
5.6000       246960       YM2151: reg 0x75, val 0x7F
5.6000       246960       YM2151: reg 0x2E, val 0x59
5.6000       246960       YM2151: reg 0x36, val 0x30
5.6000       246960       YM2151: reg 0x76, val 0x08
5.6000       246960       YM2151: reg 0x74, val 0x18
5.6000       246960       YM2151: reg 0x75, val 0x18
5.6000       246960       YM2151: reg 0x76, val 0x08
5.6000       246960       YM2151: reg 0x0F, val 0x9F
5.6000       246960       YM2151: reg 0x27, val 0xFC
5.6000       246960       YM2151: reg 0x7F, val 0x7F
5.6000       246960       YM2151: reg 0x74, val 0x00
5.6000       246960       YM2151: reg 0x2C, val 0x51
5.6000       246960       YM2151: reg 0x34, val 0xE0
5.6000       246960       YM2151: reg 0x0F, val 0x9F
5.6000       246960       YM2151: reg 0x27, val 0xFC
5.6000       246960       YM2151: reg 0x7F, val 0x7F
5.6000       246960       YM2151: reg 0x75, val 0x00
5.6000       246960       YM2151: reg 0x2D, val 0x2E
5.6000       246960       YM2151: reg 0x35, val 0x60
5.6000       246960       YM2151: reg 0x0F, val 0x9F
5.6000       246960       YM2151: reg 0x27, val 0xFC
5.6000       246960       YM2151: reg 0x7F, val 0x7F
5.6000       246960       WAIT: 882 samples (1/50s)
5.6200       247842       YM2151: reg 0x2D, val 0x32
5.6200       247842       YM2151: reg 0x35, val 0xB0
5.6200       247842       YM2151: reg 0x75, val 0x00
5.6200       247842       YM2151: reg 0x2D, val 0x25
5.6200       247842       YM2151: reg 0x35, val 0x18
5.6200       247842       YM2151: reg 0x75, val 0x00
5.6200       247842       YM2151: reg 0x2E, val 0x59
5.6200       247842       YM2151: reg 0x36, val 0x7C
5.6200       247842       YM2151: reg 0x76, val 0x08
5.6200       247842       YM2151: reg 0x74, val 0x04
5.6200       247842       YM2151: reg 0x2C, val 0x51
5.6200       247842       YM2151: reg 0x34, val 0xE0
5.6200       247842       YM2151: reg 0x0F, val 0x9F
5.6200       247842       YM2151: reg 0x27, val 0xFC
5.6200       247842       YM2151: reg 0x7F, val 0x7F
5.6200       247842       WAIT: 882 samples (1/50s)
5.6400       248724       YM2151: reg 0x2D, val 0x20
5.6400       248724       YM2151: reg 0x35, val 0x88
5.6400       248724       YM2151: reg 0x75, val 0x00
5.6400       248724       YM2151: reg 0x2E, val 0x59
5.6400       248724       YM2151: reg 0x36, val 0x30
5.6400       248724       YM2151: reg 0x76, val 0x08
5.6400       248724       YM2151: reg 0x75, val 0x04
5.6400       248724       YM2151: reg 0x2D, val 0x20
5.6400       248724       YM2151: reg 0x35, val 0x88
5.6400       248724       YM2151: reg 0x0F, val 0x9F
5.6400       248724       YM2151: reg 0x27, val 0xFC
5.6400       248724       YM2151: reg 0x7F, val 0x7F
