--- Parsing VGM: console_player/music/ws_vgm_ff1/25_Fanfare.vgm ---
VGM Version: 0x171
Data Start Offset: 0xE0

Offset(h) | Command
00000570  | 74: WAIT n+1 (val: 5)
00000571  | BC: WonderSwan (reg: 0x09, val: 0x88)
00000574  | 75: WAIT n+1 (val: 6)
00000575  | BC: WonderSwan (reg: 0x0A, val: 0x22)
00000578  | 75: WAIT n+1 (val: 6)
00000579  | BC: WonderSwan (reg: 0x0B, val: 0x33)
0000057C  | 71: WAIT n+1 (val: 2)
0000057D  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000580  | 61: WAIT (val: 565)
00000583  | BC: WonderSwan (reg: 0x08, val: 0xA6)
00000586  | 74: WAIT n+1 (val: 5)
00000587  | BC: WonderSwan (reg: 0x09, val: 0x88)
0000058A  | 74: WAIT n+1 (val: 5)
0000058B  | BC: WonderSwan (reg: 0x0A, val: 0x22)
0000058E  | 74: WAIT n+1 (val: 5)
0000058F  | BC: WonderSwan (reg: 0x0B, val: 0x33)
00000592  | 71: WAIT n+1 (val: 2)
00000593  | BC: WonderSwan (reg: 0x10, val: 0x4F)
00000596  | 61: WAIT (val: 567)
00000599  | BC: WonderSwan (reg: 0x08, val: 0xA6)
0000059C  | 76: WAIT n+1 (val: 7)
0000059D  | BC: WonderSwan (reg: 0x00, val: 0xCB)
000005A0  | BC: WonderSwan (reg: 0x01, val: 0x06)
000005A3  | 74: WAIT n+1 (val: 5)
000005A4  | BC: WonderSwan (reg: 0x09, val: 0x88)
000005A7  | 75: WAIT n+1 (val: 6)
000005A8  | BC: WonderSwan (reg: 0x02, val: 0x16)
000005AB  | BC: WonderSwan (reg: 0x03, val: 0x06)
000005AE  | 74: WAIT n+1 (val: 5)
000005AF  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000005B2  | 75: WAIT n+1 (val: 6)
000005B3  | BC: WonderSwan (reg: 0x04, val: 0x97)
000005B6  | BC: WonderSwan (reg: 0x05, val: 0x05)
000005B9  | 70: WAIT n+1 (val: 1)
000005BA  | BC: WonderSwan (reg: 0x0C, val: 0x00)
000005BD  | 74: WAIT n+1 (val: 5)
000005BE  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000005C1  | 74: WAIT n+1 (val: 5)
000005C2  | BC: WonderSwan (reg: 0x06, val: 0x2B)
000005C5  | BC: WonderSwan (reg: 0x07, val: 0x04)
000005C8  | 70: WAIT n+1 (val: 1)
000005C9  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000005CC  | 70: WAIT n+1 (val: 1)
000005CD  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000005D0  | 61: WAIT (val: 543)
000005D3  | BC: WonderSwan (reg: 0x08, val: 0x5A)
000005D6  | 74: WAIT n+1 (val: 5)
000005D7  | BC: WonderSwan (reg: 0x09, val: 0x87)
000005DA  | 74: WAIT n+1 (val: 5)
000005DB  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000005DE  | 74: WAIT n+1 (val: 5)
000005DF  | BC: WonderSwan (reg: 0x0B, val: 0x33)
000005E2  | 70: WAIT n+1 (val: 1)
000005E3  | BC: WonderSwan (reg: 0x10, val: 0x4F)
000005E6  | 61: WAIT (val: 568)
000005E9  | BC: WonderSwan (reg: 0x08, val: 0x5A)
000005EC  | 75: WAIT n+1 (val: 6)
000005ED  | BC: WonderSwan (reg: 0x09, val: 0x87)
000005F0  | 74: WAIT n+1 (val: 5)
000005F1  | BC: WonderSwan (reg: 0x0A, val: 0x22)
000005F4  | 75: WAIT n+1 (val: 6)
000005F5  | BC: WonderSwan (reg: 0x0B, val: 0x33)
