--- Parsing VGM: console_player/cache/25_Fanfare.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Offset(h) | Command
00000475  | 54: YM2151 (reg: 0x74, val: 0x14)
00000478  | 54: YM2151 (reg: 0x25, val: 0xFC)
0000047B  | 54: YM2151 (reg: 0x75, val: 0x1C)
0000047E  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000481  | 54: YM2151 (reg: 0x76, val: 0x38)
00000484  | 61: WAIT (val: 566)
00000487  | 54: YM2151 (reg: 0x24, val: 0xFC)
0000048A  | 54: YM2151 (reg: 0x74, val: 0x14)
0000048D  | 74: WAIT n+1 (val: 5)
0000048E  | 54: YM2151 (reg: 0x25, val: 0xFC)
00000491  | 54: YM2151 (reg: 0x75, val: 0x1C)
00000494  | 74: WAIT n+1 (val: 5)
00000495  | 54: YM2151 (reg: 0x26, val: 0xFC)
00000498  | 54: YM2151 (reg: 0x76, val: 0x38)
0000049B  | 74: WAIT n+1 (val: 5)
0000049C  | 70: WAIT n+1 (val: 1)
0000049D  | 54: YM2151 (reg: 0x24, val: 0xFC)
000004A0  | 54: YM2151 (reg: 0x74, val: 0x14)
000004A3  | 54: YM2151 (reg: 0x25, val: 0xFC)
000004A6  | 54: YM2151 (reg: 0x75, val: 0x1C)
000004A9  | 54: YM2151 (reg: 0x26, val: 0xFC)
000004AC  | 54: YM2151 (reg: 0x76, val: 0x38)
000004AF  | 61: WAIT (val: 568)
000004B2  | 54: YM2151 (reg: 0x24, val: 0xFC)
000004B5  | 54: YM2151 (reg: 0x74, val: 0x14)
000004B8  | 76: WAIT n+1 (val: 7)
000004B9  | 54: YM2151 (reg: 0x2C, val: 0x45)
000004BC  | 54: YM2151 (reg: 0x34, val: 0x6C)
000004BF  | 54: YM2151 (reg: 0x24, val: 0xFC)
000004C2  | 54: YM2151 (reg: 0x74, val: 0x14)
000004C5  | 54: YM2151 (reg: 0x24, val: 0xFC)
000004C8  | 54: YM2151 (reg: 0x74, val: 0x14)
000004CB  | 73: WAIT n+1 (val: 4)
000004CC  | 54: YM2151 (reg: 0x25, val: 0xFC)
000004CF  | 54: YM2151 (reg: 0x75, val: 0x1C)
000004D2  | 76: WAIT n+1 (val: 7)
000004D3  | 54: YM2151 (reg: 0x2D, val: 0x34)
000004D6  | 54: YM2151 (reg: 0x35, val: 0x6C)
000004D9  | 54: YM2151 (reg: 0x25, val: 0xFC)
000004DC  | 54: YM2151 (reg: 0x75, val: 0x1C)
000004DF  | 54: YM2151 (reg: 0x2D, val: 0x3C)
000004E2  | 54: YM2151 (reg: 0x35, val: 0x6C)
