--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
6.5600       289296       AY8910: reg 0x08, val 0x0F
6.5600       289296       AY8910: reg 0x09, val 0x0C
6.5600       289296       WAIT: 882 samples (1/50s)
6.5800       290178       AY8910: reg 0x04, val 0x79
6.5800       290178       AY8910: reg 0x08, val 0x0E
6.5800       290178       AY8910: reg 0x09, val 0x0A
6.5800       290178       WAIT: 882 samples (1/50s)
6.6000       291060       AY8910: reg 0x04, val 0x7B
6.6000       291060       AY8910: reg 0x09, val 0x08
6.6000       291060       WAIT: 882 samples (1/50s)
6.6200       291942       AY8910: reg 0x04, val 0x79
6.6200       291942       AY8910: reg 0x08, val 0x0D
6.6200       291942       AY8910: reg 0x09, val 0x06
6.6200       291942       WAIT: 882 samples (1/50s)
6.6400       292824       AY8910: reg 0x00, val 0xB2
6.6400       292824       AY8910: reg 0x04, val 0x77
6.6400       292824       AY8910: reg 0x08, val 0x0A
6.6400       292824       AY8910: reg 0x09, val 0x04
6.6400       292824       WAIT: 882 samples (1/50s)
6.6600       293706       AY8910: reg 0x08, val 0x09
6.6600       293706       AY8910: reg 0x09, val 0x02
6.6600       293706       WAIT: 882 samples (1/50s)
6.6800       294588       AY8910: reg 0x04, val 0x75
6.6800       294588       AY8910: reg 0x07, val 0x3A
6.6800       294588       AY8910: reg 0x09, val 0x00
6.6800       294588       WAIT: 882 samples (1/50s)
6.7000       295470       AY8910: reg 0x04, val 0x73
6.7000       295470       WAIT: 882 samples (1/50s)
6.7200       296352       AY8910: reg 0x00, val 0x85
6.7200       296352       AY8910: reg 0x04, val 0x75
6.7200       296352       AY8910: reg 0x07, val 0x2A
6.7200       296352       AY8910: reg 0x08, val 0x0F
6.7200       296352       AY8910: reg 0x09, val 0x0C
6.7200       296352       WAIT: 882 samples (1/50s)
6.7400       297234       AY8910: reg 0x04, val 0x77
6.7400       297234       AY8910: reg 0x08, val 0x0E
6.7400       297234       WAIT: 882 samples (1/50s)
6.7600       298116       AY8910: reg 0x04, val 0x79
6.7600       298116       AY8910: reg 0x09, val 0x0B
6.7600       298116       WAIT: 882 samples (1/50s)
6.7800       298998       AY8910: reg 0x04, val 0x7B
6.7800       298998       AY8910: reg 0x08, val 0x0D
6.7800       298998       WAIT: 882 samples (1/50s)
6.8000       299880       AY8910: reg 0x00, val 0xEF
6.8000       299880       AY8910: reg 0x04, val 0x79
6.8000       299880       AY8910: reg 0x08, val 0x0A
6.8000       299880       AY8910: reg 0x09, val 0x0A
6.8000       299880       WAIT: 882 samples (1/50s)
6.8200       300762       AY8910: reg 0x04, val 0x77
6.8200       300762       AY8910: reg 0x08, val 0x09
6.8200       300762       WAIT: 882 samples (1/50s)
6.8400       301644       AY8910: reg 0x09, val 0x09
6.8400       301644       WAIT: 882 samples (1/50s)
6.8600       302526       AY8910: reg 0x04, val 0x75
6.8600       302526       WAIT: 882 samples (1/50s)
6.8800       303408       AY8910: reg 0x00, val 0x96
6.8800       303408       AY8910: reg 0x03, val 0x02
6.8800       303408       AY8910: reg 0x04, val 0x73
6.8800       303408       AY8910: reg 0x07, val 0x38
6.8800       303408       AY8910: reg 0x08, val 0x0F
6.8800       303408       AY8910: reg 0x09, val 0x0F
6.8800       303408       WAIT: 882 samples (1/50s)
6.9000       304290       AY8910: reg 0x02, val 0x5F
6.9000       304290       AY8910: reg 0x03, val 0x04
6.9000       304290       AY8910: reg 0x04, val 0x75
6.9000       304290       AY8910: reg 0x08, val 0x0E
6.9000       304290       WAIT: 882 samples (1/50s)
6.9200       305172       AY8910: reg 0x03, val 0x05
6.9200       305172       AY8910: reg 0x04, val 0x77
6.9200       305172       AY8910: reg 0x09, val 0x0E
6.9200       305172       WAIT: 882 samples (1/50s)
6.9400       306054       AY8910: reg 0x02, val 0xDF
6.9400       306054       AY8910: reg 0x03, val 0x06
6.9400       306054       AY8910: reg 0x04, val 0x79
6.9400       306054       AY8910: reg 0x08, val 0x0D
6.9400       306054       WAIT: 882 samples (1/50s)
6.9600       306936       AY8910: reg 0x00, val 0x85
6.9600       306936       AY8910: reg 0x02, val 0x5F
6.9600       306936       AY8910: reg 0x03, val 0x08
6.9600       306936       AY8910: reg 0x04, val 0x7B
6.9600       306936       AY8910: reg 0x08, val 0x0A
6.9600       306936       AY8910: reg 0x09, val 0x0D
6.9600       306936       WAIT: 882 samples (1/50s)
6.9800       307818       AY8910: reg 0x02, val 0xDF
6.9800       307818       AY8910: reg 0x04, val 0x79
6.9800       307818       AY8910: reg 0x08, val 0x09
6.9800       307818       AY8910: reg 0x09, val 0x0C
6.9800       307818       WAIT: 882 samples (1/50s)
7.0000       308700       AY8910: reg 0x02, val 0x5F
7.0000       308700       AY8910: reg 0x03, val 0x09
7.0000       308700       AY8910: reg 0x04, val 0x77
7.0000       308700       AY8910: reg 0x09, val 0x0A
7.0000       308700       WAIT: 882 samples (1/50s)
7.0200       309582       AY8910: reg 0x02, val 0xDF
7.0200       309582       AY8910: reg 0x09, val 0x07
7.0200       309582       WAIT: 882 samples (1/50s)
7.0400       310464       AY8910: reg 0x00, val 0x9F
7.0400       310464       AY8910: reg 0x03, val 0x01
7.0400       310464       AY8910: reg 0x04, val 0x75
7.0400       310464       AY8910: reg 0x07, val 0x2A
7.0400       310464       AY8910: reg 0x08, val 0x0F
7.0400       310464       AY8910: reg 0x09, val 0x0C
7.0400       310464       WAIT: 882 samples (1/50s)
7.0600       311346       AY8910: reg 0x04, val 0x73
7.0600       311346       AY8910: reg 0x08, val 0x0E
7.0600       311346       AY8910: reg 0x09, val 0x0A
7.0600       311346       WAIT: 882 samples (1/50s)
7.0800       312228       AY8910: reg 0x04, val 0x75
7.0800       312228       AY8910: reg 0x09, val 0x08
7.0800       312228       WAIT: 882 samples (1/50s)
7.1000       313110       AY8910: reg 0x04, val 0x77
7.1000       313110       AY8910: reg 0x08, val 0x0D
7.1000       313110       AY8910: reg 0x09, val 0x06
7.1000       313110       WAIT: 882 samples (1/50s)
7.1200       313992       AY8910: reg 0x00, val 0x96
7.1200       313992       AY8910: reg 0x04, val 0x79
7.1200       313992       AY8910: reg 0x08, val 0x0A
7.1200       313992       AY8910: reg 0x09, val 0x04
7.1200       313992       WAIT: 882 samples (1/50s)
7.1400       314874       AY8910: reg 0x04, val 0x7B
7.1400       314874       AY8910: reg 0x08, val 0x09
7.1400       314874       AY8910: reg 0x09, val 0x02
7.1400       314874       WAIT: 882 samples (1/50s)
7.1600       315756       AY8910: reg 0x04, val 0x79
7.1600       315756       AY8910: reg 0x07, val 0x3A
7.1600       315756       AY8910: reg 0x09, val 0x00
7.1600       315756       WAIT: 882 samples (1/50s)
7.1800       316638       AY8910: reg 0x04, val 0x77
7.1800       316638       WAIT: 882 samples (1/50s)
7.2000       317520       AY8910: reg 0x00, val 0xEF
7.2000       317520       AY8910: reg 0x07, val 0x2A
7.2000       317520       AY8910: reg 0x08, val 0x0F
7.2000       317520       AY8910: reg 0x09, val 0x0C
7.2000       317520       WAIT: 882 samples (1/50s)
7.2200       318402       AY8910: reg 0x04, val 0x75
7.2200       318402       AY8910: reg 0x08, val 0x0E
7.2200       318402       AY8910: reg 0x09, val 0x0A
7.2200       318402       WAIT: 882 samples (1/50s)
7.2400       319284       AY8910: reg 0x04, val 0x73
7.2400       319284       AY8910: reg 0x09, val 0x08
7.2400       319284       WAIT: 882 samples (1/50s)
7.2600       320166       AY8910: reg 0x04, val 0x75
7.2600       320166       AY8910: reg 0x08, val 0x0D
7.2600       320166       AY8910: reg 0x09, val 0x06
7.2600       320166       WAIT: 882 samples (1/50s)
7.2800       321048       AY8910: reg 0x00, val 0x9F
7.2800       321048       AY8910: reg 0x04, val 0x77
7.2800       321048       AY8910: reg 0x08, val 0x0A
7.2800       321048       AY8910: reg 0x09, val 0x04
7.2800       321048       WAIT: 882 samples (1/50s)
7.3000       321930       AY8910: reg 0x04, val 0x79
7.3000       321930       AY8910: reg 0x08, val 0x09
7.3000       321930       AY8910: reg 0x09, val 0x02
7.3000       321930       WAIT: 882 samples (1/50s)
7.3200       322812       AY8910: reg 0x04, val 0x7B
7.3200       322812       AY8910: reg 0x07, val 0x3A
7.3200       322812       AY8910: reg 0x09, val 0x00
7.3200       322812       WAIT: 882 samples (1/50s)
7.3400       323694       AY8910: reg 0x04, val 0x79
7.3400       323694       WAIT: 882 samples (1/50s)
7.3600       324576       AY8910: reg 0x00, val 0x96
7.3600       324576       AY8910: reg 0x02, val 0x5F
7.3600       324576       AY8910: reg 0x03, val 0x02
7.3600       324576       AY8910: reg 0x04, val 0x77
7.3600       324576       AY8910: reg 0x06, val 0x07
7.3600       324576       AY8910: reg 0x07, val 0x28
7.3600       324576       AY8910: reg 0x08, val 0x0F
7.3600       324576       AY8910: reg 0x09, val 0x0F
7.3600       324576       WAIT: 882 samples (1/50s)
7.3800       325458       AY8910: reg 0x02, val 0xDF
7.3800       325458       AY8910: reg 0x06, val 0x02
7.3800       325458       AY8910: reg 0x08, val 0x0E
7.3800       325458       WAIT: 882 samples (1/50s)
7.4000       326340       AY8910: reg 0x02, val 0x5F
7.4000       326340       AY8910: reg 0x03, val 0x03
7.4000       326340       AY8910: reg 0x04, val 0x75
